Date,Team,Opposition,Ground,10-Runs,10-Wkts,50-Runs,50-Wkts,Result,Above-300
13-Jul-18,Pakistan,v Zimbabwe,Bulawayo,36,0,308,7,1,1
12-Jul-18,England,v India,Nottingham,71,0,268,10,0,0
24-Jun-18,Australia,v England,Manchester,79,2,205,10,0,0
21-Jun-18,Australia,v England,Chester-le-Street,61,0,310,8,0,1
19-Jun-18,England,v Australia,Nottingham,79,0,481,6,1,1
16-Jun-18,England,v Australia,Cardiff,71,1,342,8,1,1
13-Jun-18,Australia,v England,The Oval,51,2,214,10,0,0
10-Jun-18,Scotland,v England,Edinburgh,70,0,371,5,1,1
25-Mar-18,West Indies,v Afghanistan,Harare,43,1,204,10,0,0
23-Mar-18,Ireland,v Afghanistan,Harare,37,0,209,7,0,0
22-Mar-18,U.A.E.,v Zimbabwe,Harare,50,1,235,7,1,0
21-Mar-18,West Indies,v Scotland,Harare,27,2,198,10,1,0
20-Mar-18,U.A.E.,v Afghanistan,Harare,18,3,177,10,0,0
19-Mar-18,Zimbabwe,v West Indies,Harare,41,2,289,10,0,0
18-Mar-18,Ireland,v Scotland,Harare,50,1,271,9,1,0
17-Mar-18,P.N.G.,v Hong Kong,Harare,41,0,200,10,1,0
16-Mar-18,Zimbabwe,v Ireland,Harare,51,3,211,9,1,0
15-Mar-18,Scotland,v U.A.E.,Bulawayo,48,0,322,6,1,1
15-Mar-18,West Indies,v Afghanistan,Harare,42,1,197,8,0,0
12-Mar-18,Ireland,v U.A.E.,Harare,68,0,313,6,1,1
10-Mar-18,Zimbabwe,v Hong Kong,Bulawayo,81,1,263,9,1,0
10-Mar-18,West Indies,v Ireland,Harare,35,2,257,8,1,0
10-Mar-18,New Zealand,v England,Christchurch,27,2,223,10,0,0
8-Mar-18,P.N.G.,v West Indies,Harare,56,1,200,10,0,0
8-Mar-18,Hong Kong,v Afghanistan,Bulawayo,43,2,241,8,1,0
7-Mar-18,England,v New Zealand,Dunedin,77,0,335,9,0,1
6-Mar-18,Zimbabwe,v Afghanistan,Bulawayo,24,3,196,10,1,0
6-Mar-18,West Indies,v U.A.E.,Harare,57,0,357,4,1,1
6-Mar-18,P.N.G.,v Ireland,Harare,20,2,235,10,0,0
6-Mar-18,Hong Kong,v Scotland,Bulawayo,45,0,91,10,0,0
4-Mar-18,U.A.E.,v P.N.G.,Harare,52,0,221,10,1,0
4-Mar-18,Afghanistan,v Scotland,Bulawayo,27,2,255,10,0,0
3-Mar-18,England,v New Zealand,Wellington,36,1,234,10,1,0
28-Feb-18,New Zealand,v England,Mount Maunganui,34,2,223,10,0,0
25-Feb-18,England,v New Zealand,Hamilton,41,1,284,8,0,0
19-Feb-18,Afghanistan,v Zimbabwe,Sharjah,25,1,241,9,1,0
16-Feb-18,South Africa,v India,Centurion,44,2,204,10,0,0
16-Feb-18,Zimbabwe,v Afghanistan,Sharjah,34,2,134,10,0,0
13-Feb-18,India,v South Africa,Port Elizabeth,61,1,274,7,1,0
13-Feb-18,Zimbabwe,v Afghanistan,Sharjah,48,3,154,10,0,0
11-Feb-18,Zimbabwe,v Afghanistan,Sharjah,54,1,333,5,1,1
10-Feb-18,India,v South Africa,Johannesburg,53,1,289,7,0,0
9-Feb-18,Afghanistan,v Zimbabwe,Sharjah,54,0,333,5,1,1
7-Feb-18,India,v South Africa,Cape Town,50,1,303,6,1,1
4-Feb-18,South Africa,v India,Centurion,39,1,118,10,0,0
1-Feb-18,South Africa,v India,Durban,49,1,269,8,0,0
28-Jan-18,England,v Australia,Perth,66,0,259,10,1,0
27-Jan-18,Sri Lanka,v Bangladesh,Dhaka,60,2,221,10,1,0
26-Jan-18,England,v Australia,Adelaide,18,5,196,10,0,0
25-Jan-18,Bangladesh,v Sri Lanka,Dhaka,32,3,82,10,0,0
23-Jan-18,Bangladesh,v Zimbabwe,Dhaka,45,1,216,9,1,0
23-Jan-18,Scotland,v U.A.E.,ICCA Dubai,49,2,299,9,0,0
21-Jan-18,Zimbabwe,v Sri Lanka,Dhaka,44,1,198,10,0,0
21-Jan-18,Scotland,v U.A.E.,ICCA Dubai,49,2,249,8,1,0
21-Jan-18,England,v Australia,Sydney,47,2,302,6,1,1
19-Jan-18,Bangladesh,v Sri Lanka,Dhaka,50,0,320,7,1,1
19-Jan-18,Australia,v England,Brisbane,56,0,270,9,0,0
19-Jan-18,New Zealand,v Pakistan,Wellington,66,1,271,7,1,0
18-Jan-18,Ireland,v Scotland,ICCA Dubai,54,1,331,6,1,1
17-Jan-18,Zimbabwe,v Sri Lanka,Dhaka,64,0,290,6,1,0
16-Jan-18,Scotland,v Ireland,ICCA Dubai,30,1,219,10,0,0
16-Jan-18,Pakistan,v New Zealand,Hamilton,43,2,262,8,0,0
15-Jan-18,Zimbabwe,v Bangladesh,Dhaka,35,3,170,10,0,0
14-Jan-18,Australia,v England,Melbourne,52,1,304,8,0,1
13-Jan-18,Ireland,v U.A.E.,ICCA Dubai,49,1,301,5,1,1
13-Jan-18,New Zealand,v Pakistan,Dunedin,37,1,257,10,1,0
11-Jan-18,U.A.E.,v Ireland,ICCA Dubai,51,1,222,9,0,0
9-Jan-18,Pakistan,v New Zealand,Nelson,39,2,246,9,0,0
6-Jan-18,New Zealand,v Pakistan,Wellington,62,0,315,7,1,1
23-Dec-17,New Zealand,v West Indies,Christchurch,66,1,325,6,1,1
20-Dec-17,West Indies,v New Zealand,Whangarei,40,0,248,9,0,0
17-Dec-17,Sri Lanka,v India,Visakhapatnam,68,1,215,10,0,0
13-Dec-17,India,v Sri Lanka,Mohali,33,0,392,4,1,1
10-Dec-17,Afghanistan,v Ireland,Sharjah,43,2,177,10,0,0
10-Dec-17,India,v Sri Lanka,Dharamsala,11,3,112,10,0,0
7-Dec-17,Ireland,v Afghanistan,Sharjah,48,0,271,9,1,0
6-Dec-17,Hong Kong,v P.N.G.,ICCA Dubai,43,1,230,8,1,0
5-Dec-17,Afghanistan,v Ireland,Sharjah,29,2,238,9,1,0
25-Nov-17,P.N.G.,v Scotland,Dubai (DSC),26,0,192,8,0,0
24-Nov-17,P.N.G.,v Scotland,Dubai (DSC),30,5,147,10,0,0
29-Oct-17,India,v New Zealand,Kanpur,53,1,337,6,1,1
25-Oct-17,New Zealand,v India,Pune,35,3,230,9,0,0
